killer_name,killer_steamid,killer_team_name,victim_name,victim_steamid,victim_side,victim_team_name,weapon_name,headshot,killer_controlling_bot,is_trade_kill,match_checksum,tournament
yxngstxr,76561199137143905,HEROIC,Ex3rcice,76561198168198200,3,3DMAX,AK-47,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
xfl0ud,76561198178209109,HEROIC,Djoko,76561198047876970,3,3DMAX,AK-47,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Ex3rcice,76561198168198200,3DMAX,xfl0ud,76561198178209109,2,HEROIC,M4A1,1,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Ex3rcice,76561198168198200,3DMAX,SunPayus,76561198309839541,2,HEROIC,M4A1,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Graviti,76561198179538505,3DMAX,yxngstxr,76561199137143905,2,HEROIC,FAMAS,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
LNZ,76561198104626893,HEROIC,Lucky,76561198031890115,3,3DMAX,AK-47,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Maka,76561198045739761,3DMAX,LNZ,76561198104626893,2,HEROIC,AWP,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
tN1R,76561198872013168,HEROIC,Ex3rcice,76561198168198200,3,3DMAX,AK-47,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Maka,76561198045739761,3DMAX,tN1R,76561198872013168,2,HEROIC,AWP,0,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
LNZ,76561198104626893,HEROIC,Graviti,76561198179538505,3,3DMAX,Galil AR,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
LNZ,76561198104626893,HEROIC,Lucky,76561198031890115,3,3DMAX,Galil AR,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Maka,76561198045739761,3DMAX,LNZ,76561198104626893,2,HEROIC,AWP,0,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
SunPayus,76561198309839541,HEROIC,Maka,76561198045739761,3,3DMAX,Tec-9,0,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Graviti,76561198179538505,3DMAX,LNZ,76561198104626893,2,HEROIC,M4A4,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Lucky,76561198031890115,3DMAX,SunPayus,76561198309839541,2,HEROIC,M4A1,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
yxngstxr,76561199137143905,HEROIC,Graviti,76561198179538505,3,3DMAX,AK-47,1,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
tN1R,76561198872013168,HEROIC,Maka,76561198045739761,3,3DMAX,AK-47,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Djoko,76561198047876970,3DMAX,xfl0ud,76561198178209109,2,HEROIC,M4A1,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
yxngstxr,76561199137143905,HEROIC,Lucky,76561198031890115,3,3DMAX,AK-47,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Djoko,76561198047876970,3DMAX,yxngstxr,76561199137143905,2,HEROIC,M4A1,0,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Ex3rcice,76561198168198200,3DMAX,SunPayus,76561198309839541,2,HEROIC,AK-47,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
tN1R,76561198872013168,HEROIC,Ex3rcice,76561198168198200,3,3DMAX,AK-47,1,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Graviti,76561198179538505,3DMAX,xfl0ud,76561198178209109,2,HEROIC,MP9,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
LNZ,76561198104626893,HEROIC,Graviti,76561198179538505,3,3DMAX,Galil AR,0,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Djoko,76561198047876970,3DMAX,LNZ,76561198104626893,2,HEROIC,M4A1,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Djoko,76561198047876970,3DMAX,tN1R,76561198872013168,2,HEROIC,M4A1,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Djoko,76561198047876970,3DMAX,yxngstxr,76561199137143905,2,HEROIC,USP-S,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
tN1R,76561198872013168,HEROIC,Maka,76561198045739761,3,3DMAX,Tec-9,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Djoko,76561198047876970,3DMAX,xfl0ud,76561198178209109,2,HEROIC,AK-47,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
yxngstxr,76561199137143905,HEROIC,Djoko,76561198047876970,3,3DMAX,Glock-18,1,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Ex3rcice,76561198168198200,3DMAX,yxngstxr,76561199137143905,2,HEROIC,HE Grenade,0,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Ex3rcice,76561198168198200,3DMAX,SunPayus,76561198309839541,2,HEROIC,M4A4,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Ex3rcice,76561198168198200,3DMAX,tN1R,76561198872013168,2,HEROIC,M4A4,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Ex3rcice,76561198168198200,3DMAX,LNZ,76561198104626893,2,HEROIC,M4A4,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
xfl0ud,76561198178209109,HEROIC,Maka,76561198045739761,3,3DMAX,AK-47,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
LNZ,76561198104626893,HEROIC,Ex3rcice,76561198168198200,3,3DMAX,AK-47,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
xfl0ud,76561198178209109,HEROIC,Djoko,76561198047876970,3,3DMAX,AK-47,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
tN1R,76561198872013168,HEROIC,Lucky,76561198031890115,3,3DMAX,AK-47,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
yxngstxr,76561199137143905,HEROIC,Graviti,76561198179538505,3,3DMAX,AK-47,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Graviti,76561198179538505,3DMAX,tN1R,76561198872013168,3,HEROIC,Glock-18,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Ex3rcice,76561198168198200,3DMAX,SunPayus,76561198309839541,3,HEROIC,P250,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
xfl0ud,76561198178209109,HEROIC,Maka,76561198045739761,2,3DMAX,USP-S,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
yxngstxr,76561199137143905,HEROIC,Ex3rcice,76561198168198200,2,3DMAX,USP-S,1,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
LNZ,76561198104626893,HEROIC,Djoko,76561198047876970,2,3DMAX,USP-S,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Graviti,76561198179538505,3DMAX,LNZ,76561198104626893,3,HEROIC,Glock-18,1,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
yxngstxr,76561199137143905,HEROIC,Lucky,76561198031890115,2,3DMAX,USP-S,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Graviti,76561198179538505,3DMAX,yxngstxr,76561199137143905,3,HEROIC,Glock-18,1,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Graviti,76561198179538505,3DMAX,xfl0ud,76561198178209109,3,HEROIC,Glock-18,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
LNZ,76561198104626893,HEROIC,Graviti,76561198179538505,2,3DMAX,Five-SeveN,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Maka,76561198045739761,3DMAX,yxngstxr,76561199137143905,3,HEROIC,AK-47,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Djoko,76561198047876970,3DMAX,LNZ,76561198104626893,3,HEROIC,Galil AR,0,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Djoko,76561198047876970,3DMAX,SunPayus,76561198309839541,3,HEROIC,Galil AR,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Ex3rcice,76561198168198200,3DMAX,xfl0ud,76561198178209109,3,HEROIC,Galil AR,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
tN1R,76561198872013168,HEROIC,Djoko,76561198047876970,2,3DMAX,Desert Eagle,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
tN1R,76561198872013168,HEROIC,Maka,76561198045739761,2,3DMAX,Desert Eagle,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Lucky,76561198031890115,3DMAX,tN1R,76561198872013168,3,HEROIC,AK-47,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
LNZ,76561198104626893,HEROIC,Lucky,76561198031890115,2,3DMAX,Five-SeveN,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Djoko,76561198047876970,3DMAX,SunPayus,76561198309839541,3,HEROIC,AK-47,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Maka,76561198045739761,3DMAX,LNZ,76561198104626893,3,HEROIC,AK-47,1,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Djoko,76561198047876970,3DMAX,yxngstxr,76561199137143905,3,HEROIC,AK-47,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Graviti,76561198179538505,3DMAX,xfl0ud,76561198178209109,3,HEROIC,MAC-10,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Graviti,76561198179538505,3DMAX,tN1R,76561198872013168,3,HEROIC,MAC-10,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Lucky,76561198031890115,3DMAX,xfl0ud,76561198178209109,3,HEROIC,Molotov,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Graviti,76561198179538505,3DMAX,yxngstxr,76561199137143905,3,HEROIC,AK-47,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Ex3rcice,76561198168198200,3DMAX,tN1R,76561198872013168,3,HEROIC,M4A1,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Ex3rcice,76561198168198200,3DMAX,SunPayus,76561198309839541,3,HEROIC,M4A1,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
LNZ,76561198104626893,HEROIC,Ex3rcice,76561198168198200,2,3DMAX,M4A4,0,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Lucky,76561198031890115,3DMAX,LNZ,76561198104626893,3,HEROIC,AK-47,1,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
yxngstxr,76561199137143905,HEROIC,Ex3rcice,76561198168198200,2,3DMAX,MP9,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Graviti,76561198179538505,3DMAX,LNZ,76561198104626893,3,HEROIC,AK-47,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
xfl0ud,76561198178209109,HEROIC,Graviti,76561198179538505,2,3DMAX,Desert Eagle,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Maka,76561198045739761,3DMAX,SunPayus,76561198309839541,3,HEROIC,AWP,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Maka,76561198045739761,3DMAX,xfl0ud,76561198178209109,3,HEROIC,AWP,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Maka,76561198045739761,3DMAX,tN1R,76561198872013168,3,HEROIC,P250,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
yxngstxr,76561199137143905,HEROIC,Djoko,76561198047876970,2,3DMAX,AK-47,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
yxngstxr,76561199137143905,HEROIC,Maka,76561198045739761,2,3DMAX,AK-47,1,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Lucky,76561198031890115,3DMAX,yxngstxr,76561199137143905,3,HEROIC,AK-47,1,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Graviti,76561198179538505,3DMAX,tN1R,76561198872013168,3,HEROIC,MAC-10,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Graviti,76561198179538505,3DMAX,SunPayus,76561198309839541,3,HEROIC,MAC-10,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
yxngstxr,76561199137143905,HEROIC,Graviti,76561198179538505,2,3DMAX,M4A1,0,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
LNZ,76561198104626893,HEROIC,Djoko,76561198047876970,2,3DMAX,M4A4,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
yxngstxr,76561199137143905,HEROIC,Ex3rcice,76561198168198200,2,3DMAX,M4A1,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
xfl0ud,76561198178209109,HEROIC,Maka,76561198045739761,2,3DMAX,M4A1,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Lucky,76561198031890115,3DMAX,yxngstxr,76561199137143905,3,HEROIC,AK-47,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
LNZ,76561198104626893,HEROIC,Lucky,76561198031890115,2,3DMAX,M4A4,0,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Lucky,76561198031890115,3DMAX,yxngstxr,76561199137143905,3,HEROIC,AK-47,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
tN1R,76561198872013168,HEROIC,Djoko,76561198047876970,2,3DMAX,M4A1,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Graviti,76561198179538505,3DMAX,LNZ,76561198104626893,3,HEROIC,AK-47,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Ex3rcice,76561198168198200,3DMAX,xfl0ud,76561198178209109,3,HEROIC,AK-47,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
SunPayus,76561198309839541,HEROIC,Maka,76561198045739761,2,3DMAX,AWP,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Graviti,76561198179538505,3DMAX,LNZ,76561198104626893,3,HEROIC,AK-47,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
yxngstxr,76561199137143905,HEROIC,Lucky,76561198031890115,2,3DMAX,M4A1,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Djoko,76561198047876970,3DMAX,yxngstxr,76561199137143905,3,HEROIC,AK-47,0,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
tN1R,76561198872013168,HEROIC,Djoko,76561198047876970,2,3DMAX,AK-47,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Ex3rcice,76561198168198200,3DMAX,xfl0ud,76561198178209109,3,HEROIC,AK-47,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Maka,76561198045739761,3DMAX,tN1R,76561198872013168,3,HEROIC,AK-47,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Lucky,76561198031890115,3DMAX,yxngstxr,76561199137143905,3,HEROIC,AK-47,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Graviti,76561198179538505,3DMAX,SunPayus,76561198309839541,3,HEROIC,MAC-10,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
LNZ,76561198104626893,HEROIC,Graviti,76561198179538505,2,3DMAX,M4A4,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
LNZ,76561198104626893,HEROIC,Djoko,76561198047876970,2,3DMAX,M4A4,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Maka,76561198045739761,3DMAX,LNZ,76561198104626893,3,HEROIC,AK-47,0,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
tN1R,76561198872013168,HEROIC,Maka,76561198045739761,2,3DMAX,M4A1,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
tN1R,76561198872013168,HEROIC,Ex3rcice,76561198168198200,2,3DMAX,M4A1,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
tN1R,76561198872013168,HEROIC,Lucky,76561198031890115,2,3DMAX,M4A1,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Maka,76561198045739761,3DMAX,xfl0ud,76561198178209109,3,HEROIC,AK-47,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
tN1R,76561198872013168,HEROIC,Graviti,76561198179538505,2,3DMAX,AK-47,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Maka,76561198045739761,3DMAX,tN1R,76561198872013168,3,HEROIC,AK-47,1,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
LNZ,76561198104626893,HEROIC,Djoko,76561198047876970,2,3DMAX,M4A4,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
LNZ,76561198104626893,HEROIC,Maka,76561198045739761,2,3DMAX,M4A4,0,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
LNZ,76561198104626893,HEROIC,Lucky,76561198031890115,2,3DMAX,M4A4,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Ex3rcice,76561198168198200,3DMAX,xfl0ud,76561198178209109,3,HEROIC,AK-47,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Djoko,76561198047876970,3DMAX,yxngstxr,76561199137143905,3,HEROIC,Desert Eagle,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
tN1R,76561198872013168,HEROIC,Ex3rcice,76561198168198200,2,3DMAX,M4A1,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
LNZ,76561198104626893,HEROIC,Djoko,76561198047876970,2,3DMAX,AK-47,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
LNZ,76561198104626893,HEROIC,Lucky,76561198031890115,2,3DMAX,AK-47,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
tN1R,76561198872013168,HEROIC,Graviti,76561198179538505,2,3DMAX,M4A1,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
LNZ,76561198104626893,HEROIC,Maka,76561198045739761,2,3DMAX,AK-47,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Lucky,76561198031890115,3DMAX,xfl0ud,76561198178209109,3,HEROIC,AK-47,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
yxngstxr,76561199137143905,HEROIC,Lucky,76561198031890115,2,3DMAX,M4A1,0,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
tN1R,76561198872013168,HEROIC,Maka,76561198045739761,2,3DMAX,HE Grenade,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
yxngstxr,76561199137143905,HEROIC,Graviti,76561198179538505,2,3DMAX,M4A1,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Ex3rcice,76561198168198200,3DMAX,yxngstxr,76561199137143905,3,HEROIC,HE Grenade,0,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
SunPayus,76561198309839541,HEROIC,Ex3rcice,76561198168198200,2,3DMAX,AWP,0,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
SunPayus,76561198309839541,HEROIC,Djoko,76561198047876970,2,3DMAX,AWP,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Djoko,76561198047876970,3DMAX,LNZ,76561198104626893,3,HEROIC,AK-47,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
SunPayus,76561198309839541,HEROIC,Graviti,76561198179538505,2,3DMAX,M4A4,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
yxngstxr,76561199137143905,HEROIC,Djoko,76561198047876970,2,3DMAX,M4A1,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Ex3rcice,76561198168198200,3DMAX,SunPayus,76561198309839541,3,HEROIC,AK-47,0,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
yxngstxr,76561199137143905,HEROIC,Ex3rcice,76561198168198200,2,3DMAX,M4A1,0,0,1,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
Maka,76561198045739761,3DMAX,yxngstxr,76561199137143905,3,HEROIC,AWP,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
tN1R,76561198872013168,HEROIC,Maka,76561198045739761,2,3DMAX,M4A1,1,0,0,1229e6b33a7c388f,BLAST Bounty 2025 Season 1
