name,team,score,score_first_half,score_second_half,current_side,match_checksum
Team Spirit,A,13,5,8,2,73ebc2487132b57f
The Huns,B,8,7,1,3,73ebc2487132b57f
The Huns,A,4,1,3,2,f84ce6cea7bfec37
Team Spirit,B,13,11,2,3,f84ce6cea7bfec37
MOUZ,A,13,5,8,2,2dd0dab3d12aa679
Falcons,B,11,7,4,3,2dd0dab3d12aa679
Falcons,A,10,3,7,2,4da8bb160ec93df9
MOUZ,B,13,9,4,3,4da8bb160ec93df9
Vitality,A,13,9,4,2,ea29a1b7c3d3dde3
Astralis,B,4,3,1,3,ea29a1b7c3d3dde3
Astralis,A,6,5,1,2,1c9bb7de6330bf76
Vitality,B,13,7,6,3,1c9bb7de6330bf76
Virtus.Pro,A,12,4,8,3,dc6893705a5c5d9
FaZe,B,16,8,4,2,dc6893705a5c5d9
Virtus.Pro,A,16,6,6,3,1a5315532c76cdf0
FaZe,B,13,6,6,2,1a5315532c76cdf0
FaZe,A,1,1,0,2,4549b648175e0ed2
Virtus.Pro,B,13,12,1,3,4549b648175e0ed2
G2,A,13,6,7,2,c7a029f641392a32
Imperial,B,8,6,2,3,c7a029f641392a32
Imperial,A,11,5,6,2,cd57625ad64643a9
G2,B,13,7,6,3,cd57625ad64643a9
Eternal Fire,A,13,7,6,2,4d45acef48637b70
Liquid,B,7,5,2,3,4d45acef48637b70
Eternal Fire,A,13,8,5,2,5abe60055bc55f9f
Liquid,B,7,4,3,3,5abe60055bc55f9f
FURIA,A,12,4,8,3,d661064df8909600
Natus Vincere,B,16,8,4,2,d661064df8909600
FURIA,A,8,4,4,2,f4b326e7f1112e06
Natus Vincere,B,13,8,5,3,f4b326e7f1112e06
Falcons,A,16,7,5,3,c70cbae80af81df9
The Huns,B,13,5,7,2,c70cbae80af81df9
The Huns,A,6,4,2,2,769e226b9ae28d12
Falcons,B,13,8,5,3,769e226b9ae28d12
FaZe,A,13,11,2,2,2ca7fa9b323bb44a
