name,steamid,score,team_name,kills,assists,deaths,headshots,hs_percentage,kd,kast,avg_damages_per_round,avg_kills_per_round,avg_death_per_round,utility_damage_per_round,mvp,rank_type,rank,old_rank,win_count,bomb_planted,bomb_defused,hostage_rescued,health_damage,armor_damage,utility_damage,1v1,1v2,1v3,1v4,1v5,1v1_won,1v2_won,1v3_won,1v4_won,1v5_won,1v1_lost,1v2_lost,1v3_lost,1v4_lost,1v5_lost,first_kill,first_death,trade_kill,trade_death,first_trade_kill,first_trade_death,k_1,k_2,k_3,k_4,k_5,htlv_2,htlv,crosshair_share_code,color,inspect_weapon_count,match_checksum
Veccil,76561198831275747,26,The Huns,7,7,18,2,28,0.388889,71.428574,46.333332,0.333333,0.857143,2.666667,1,-1,0,0,0,2,0,0,973,130,56,5,6,8,6,5,1,2,1,0,0,4,4,7,6,5,0,4,2,6,0,3,4,0,1,0,0,0.595692,0.478201,CSGO-JsSYU-YLUfz-TkVP5-sNCuc-ZbJaA,3,0,73ebc2487132b57f
yAmi,76561198135998371,36,The Huns,13,5,17,8,61,0.764706,61.904762,77.476189,0.619048,0.809524,1.619048,1,-1,0,0,0,1,0,0,1627,178,34,5,6,8,6,5,1,2,1,0,0,4,4,7,6,5,0,1,5,4,0,0,6,2,1,0,0,0.888667,0.811104,CSGO-mTMCQ-nh36d-4jXep-7MkbA-uKkXM,2,0,73ebc2487132b57f
donk,76561198386265483,56,Team Spirit,24,6,14,13,54,1.714286,80.952385,118.14286,1.142857,0.666667,1.714286,4,-1,0,0,0,1,0,0,2481,309,36,6,7,9,7,6,1,2,1,0,0,5,5,8,7,6,3,1,3,2,0,0,7,4,3,0,0,1.691467,1.586557,CSGO-OvzoD-s7EMy-rVYFj-uRfNO-xDFFN,0,0,73ebc2487132b57f
Bart4k,76561198441362330,33,The Huns,13,2,16,7,53,0.8125,66.666672,58.095238,0.619048,0.761905,3.380952,1,-1,0,0,0,1,0,0,1220,191,71,9,10,12,10,9,1,2,1,0,0,8,8,11,10,9,2,2,5,4,0,2,7,3,0,0,0,0.872554,0.794805,CSGO-bq32G-sDbNt-4QrZs-9HC3W-vJN2G,0,0,73ebc2487132b57f
nin9,76561198128463598,51,The Huns,19,4,16,7,36,1.1875,71.428574,84.238098,0.904762,0.761905,6.714286,3,-1,0,0,0,3,0,0,1769,226,141,9,10,12,10,9,3,4,3,2,2,6,6,9,8,7,1,2,3,2,0,0,5,2,2,1,0,1.247414,1.337361,CSGO-xscDn-fLxsa-xKHK5-jqOVL-3nUCP,1,0,73ebc2487132b57f
sh1ro,76561198081484775,27,Team Spirit,10,6,14,2,20,0.714286,66.666672,53.809525,0.47619,0.666667,2.095238,1,-1,0,0,0,1,0,0,1130,138,44,6,7,9,7,6,1,2,1,0,0,5,5,8,7,6,3,0,0,1,0,0,8,1,0,0,0,0.805091,0.698095,CSGO-AZQd3-kDODr-psst2-hWv7L-TpNkO,1,0,73ebc2487132b57f
chopper,76561198045898864,30,Team Spirit,11,7,15,7,63,0.733333,71.428574,65.571426,0.52381,0.714286,4.095238,2,-1,0,0,0,1,0,0,1377,270,86,4,5,7,5,4,1,2,1,0,0,3,3,6,5,4,3,5,2,1,0,0,4,2,1,0,0,0.898018,0.809423,CSGO-UBOun-96SYT-i838F-PM2Ek-wHSZQ,3,0,73ebc2487132b57f
zont1x,76561198995880877,41,Team Spirit,18,8,11,5,27,1.636364,85.714287,97.0,0.857143,0.52381,17.666666,2,-1,0,0,0,1,0,0,2037,482,371,6,7,9,7,6,1,2,1,0,0,5,5,8,7,6,4,0,2,3,0,0,7,4,1,0,0,1.497236,1.298947,CSGO-iFmqr-NWMkU-Q38iA-iC6Ru-RPNMB,4,0,73ebc2487132b57f
cobrazera,76561199430871803,38,The Huns,12,4,19,8,66,0.631579,71.428574,76.095238,0.571429,0.904762,1.428571,2,-1,0,0,0,3,0,0,1598,218,30,7,8,10,8,7,1,2,1,0,0,6,6,9,8,7,3,6,4,8,0,4,2,3,0,1,0,0.857116,0.803916,CSGO-cXRt7-URURp-wo2kd-n4VTi-oTc3K,4,0,73ebc2487132b57f
magixx,76561199063238565,62,Team Spirit,23,5,10,8,34,2.3,95.238098,107.285713,1.095238,0.47619,5.238095,4,-1,0,0,0,2,3,0,2253,416,110,8,9,11,9,8,3,4,3,2,2,5,5,8,7,6,2,0,4,5,0,0,7,4,0,2,0,1.816612,1.785419,CSGO-qcYpv-LNuh9-r3A8S-4VRda-6DR7B,2,0,73ebc2487132b57f
donk,76561198386265483,56,Team Spirit,24,2,9,14,58,2.666667,76.470589,125.764709,1.411765,0.529412,3.470588,6,-1,0,0,0,2,0,0,2138,176,59,3,3,4,6,3,2,0,0,1,0,1,3,4,5,3,4,2,2,2,0,0,3,5,1,2,0,1.971967,2.246823,CSGO-AkTYm-syAcf-UKom7-tGKdM-mOJvM,3,0,f84ce6cea7bfec37
zont1x,76561198995880877,30,Team Spirit,12,4,7,5,41,1.714286,82.352943,62.705883,0.705882,0.411765,5.588235,1,-1,0,0,0,1,0,0,1066,161,95,3,3,4,6,3,2,0,0,1,0,1,3,4,5,3,1,1,2,2,0,0,6,3,0,0,0,1.277414,1.173216,CSGO-iFmqr-NWMkU-Q38iA-iC6Ru-RPNMB,4,0,f84ce6cea7bfec37
cobrazera,76561199430871803,18,The Huns,8,2,14,6,75,0.571429,41.176472,57.294117,0.470588,0.823529,0.0,1,-1,0,0,0,0,0,0,974,107,0,5,5,6,8,5,2,0,0,1,0,3,5,6,7,5,2,1,1,0,0,0,4,1,1,0,0,0.524985,0.691048,CSGO-sm37U-s5QEo-okmJt-ZE3Dx-NxZkF,4,0,f84ce6cea7bfec37
yAmi,76561198135998371,24,The Huns,9,4,14,4,44,0.642857,64.705887,78.352943,0.529412,0.823529,1.529412,0,-1,0,0,0,1,0,0,1332,185,26,5,5,6,8,5,2,0,0,1,0,3,5,6,7,5,3,1,0,3,0,0,7,1,0,0,0,0.826702,0.62077,CSGO-mTMCQ-nh36d-4jXep-7MkbA-uKkXM,3,0,f84ce6cea7bfec37
nin9,76561198128463598,38,The Huns,16,3,13,9,56,1.230769,58.823532,86.588234,0.941176,0.764706,5.529412,3,-1,0,0,0,0,0,0,1472,220,94,9,9,10,12,9,4,2,2,3,2,5,7,8,9,7,2,2,5,1,0,0,5,2,1,1,0,1.191504,1.35412,CSGO-xscDn-fLxsa-xKHK5-jqOVL-3nUCP,1,0,f84ce6cea7bfec37
magixx,76561199063238565,37,Team Spirit,10,6,7,4,40,1.428571,88.235298,64.235291,0.588235,0.411765,6.764706,3,-1,0,0,0,4,0,0,1092,209,115,4,4,5,7,4,2,0,0,1,0,2,4,5,6,4,1,0,2,2,0,0,6,2,0,0,0,1.235284,1.040801,CSGO-nDBOZ-ZaNF7-C8dxz-YPZA2-KS8SA,1,0,f84ce6cea7bfec37
Veccil,76561198831275747,8,The Huns,4,0,15,4,100,0.266667,58.823532,25.529411,0.235294,0.882353,0.647059,0,-1,0,0,0,0,0,0,434,31,11,4,4,5,7,4,2,0,0,1,0,2,4,5,6,4,1,3,2,5,0,1,4,0,0,0,0,0.305721,0.292805,CSGO-JsSYU-YLUfz-TkVP5-sNCuc-ZbJaA,0,0,f84ce6cea7bfec37
Bart4k,76561198441362330,13,The Huns,4,5,16,2,50,0.25,58.823532,45.294117,0.235294,0.941176,0.0,0,-1,0,0,0,0,0,0,770,50,0,6,6,7,9,6,2,0,0,1,0,4,6,7,8,6,0,2,3,4,0,0,4,0,0,0,0,0.366922,0.244696,CSGO-bq32G-sDbNt-4QrZs-9HC3W-vJN2G,2,0,f84ce6cea7bfec37
chopper,76561198045898864,19,Team Spirit,8,7,12,5,62,0.666667,70.588234,53.411766,0.470588,0.705882,2.647059,0,-1,0,0,0,0,0,0,908,184,45,3,3,4,6,3,2,0,0,1,0,1,3,4,5,3,0,4,1,5,0,2,3,1,1,0,0,0.819263,0.770205,CSGO-UBOun-96SYT-i838F-PM2Ek-wHSZQ,0,0,f84ce6cea7bfec37
sh1ro,76561198081484775,49,Team Spirit,17,8,7,2,11,2.428571,100.0,117.705879,1.0,0.411765,2.058824,3,-1,0,0,0,3,0,0,2001,229,35,7,7,8,10,7,3,1,1,2,1,4,6,7,8,6,3,1,4,1,0,1,4,5,1,0,0,1.859895,1.589557,CSGO-AZQd3-kDODr-psst2-hWv7L-TpNkO,2,0,f84ce6cea7bfec37
TeSeS,76561197996678278,31,Falcons,12,6,19,7,58,0.631579,62.5,65.625,0.5,0.791667,2.541667,2,-1,0,0,0,1,0,0,1575,278,61,2,5,5,6,4,2,0,0,0,0,0,5,5,6,4,2,4,2,4,0,0,5,2,1,0,0,0.762893,0.70898,CSGO-FwFfV-2CZJ6-B9yx4-pTRzB-SjG4C,1,0,2dd0dab3d12aa679
NiKo,76561198041683378,42,Falcons,17,4,15,9,52,1.133333,79.166672,78.458336,0.708333,0.625,11.0,2,-1,0,0,0,1,0,0,1883,367,264,3,6,6,7,5,2,0,0,0,0,1,6,6,7,5,4,6,1,1,0,1,8,3,1,0,0,1.186211,1.04352,CSGO-WmaB6-ywAZE-J8Vnv-somwB-CuSyL,4,0,2dd0dab3d12aa679
Jimpphat,76561198855375325,47,MOUZ,18,1,13,10,55,1.384615,79.166672,74.875,0.75,0.541667,0.458333,2,-1,0,0,0,2,0,0,1797,209,11,4,7,7,8,6,2,0,0,0,0,2,7,7,8,6,2,0,3,3,0,0,7,4,1,0,0,1.242714,1.170656,CSGO-fZZ5u-YjBPX-XpOk3-N6PbP-TA7yD,3,0,2dd0dab3d12aa679
xertioN,76561198193174134,34,MOUZ,15,1,14,7,46,1.071429,58.333332,61.333332,0.625,0.583333,6.083333,3,-1,0,0,0,0,1,0,1472,191,146,2,5,5,6,4,2,0,0,0,0,0,5,5,6,4,2,3,4,3,0,1,6,3,1,0,0,0.917051,1.007973,CSGO-cFkWX-schKX-eZGKb-dMXSu-wzUrC,4,0,2dd0dab3d12aa679
Magisk,76561197983956651,37,Falcons,15,5,12,10,66,1.25,70.833328,83.541664,0.625,0.5,14.833333,1,-1,0,0,0,0,0,0,2005,164,356,3,6,6,7,5,2,0,0,0,0,1,6,6,7,5,2,2,2,2,0,1,3,4,0,1,0,1.14038,1.172804,CSGO-qEUH6-LBHGM-akKSO-uRst7-z98WB,3,0,2dd0dab3d12aa679
Brollan,76561198138828475,33,MOUZ,10,6,17,6,60,0.588235,62.5,60.125,0.416667,0.708333,2.083333,3,-1,0,0,0,3,0,0,1443,220,50,3,6,6,7,5,2,0,0,0,0,1,6,6,7,5,5,4,0,3,0,0,5,1,1,0,0,0.717673,0.683341,CSGO-ebDPX-rm33i-hyojj-VRwnA-YTFuA,2,0,2dd0dab3d12aa679
degster,76561198799340122,43,Falcons,14,1,10,7,50,1.4,75.0,55.416668,0.583333,0.416667,0.0,4,-1,0,0,0,4,0,0,1330,51,0,7,10,10,11,9,2,0,0,0,0,5,10,10,11,9,3,0,1,0,0,0,11,0,1,0,0,1.072587,1.036961,CSGO-s5Qbj-nvF89-cJjDd-mRdSG-5Yt4N,0,0,2dd0dab3d12aa679
torzsi,76561198355739212,43,MOUZ,12,2,12,4,33,1.0,70.833328,56.416668,0.5,0.5,4.833333,4,-1,0,0,0,4,0,0,1354,210,116,5,8,8,9,7,2,0,0,0,0,3,8,8,9,7,1,2,3,0,0,0,10,1,0,0,0,0.933085,0.850844,CSGO-di4ov-bH2Go-Y3GG9-9DwGx-EmbcP,0,0,2dd0dab3d12aa679
Spinx,76561198063336407,37,MOUZ,13,5,12,5,38,1.083333,75.0,69.458336,0.541667,0.5,7.833333,1,-1,0,0,0,0,0,0,1667,178,188,7,10,10,11,9,3,1,1,1,1,4,9,9,10,8,3,2,1,5,0,1,7,0,2,0,0,1.053702,1.006503,CSGO-PZmwG-aiLCu-CYuQ2-icz2C-vZ9GJ,1,0,2dd0dab3d12aa679
kyxsan,76561198057282432,32,Falcons,10,5,12,1,10,0.833333,79.166672,55.541668,0.416667,0.5,6.541667,2,-1,0,0,0,2,1,0,1333,195,157,6,9,9,10,8,3,1,1,1,1,3,8,8,9,7,0,1,4,3,0,0,8,1,0,0,0,0.931543,0.781219,CSGO-z57sQ-VjMYy-Uqq9L-Lda2n-bueKP,2,0,2dd0dab3d12aa679
torzsi,76561198355739212,62,MOUZ,19,6,9,9,47,2.111111,78.260872,85.91304,0.826087,0.391304,3.478261,4,-1,0,0,0,6,1,0,1976,231,80,4,8,8,6,3,2,0,0,0,0,2,8,8,6,3,1,0,5,1,0,0,6,5,1,0,0,1.439154,1.389777,CSGO-di4ov-bH2Go-Y3GG9-9DwGx-EmbcP,0,0,4da8bb160ec93df9
Jimpphat,76561198855375325,44,MOUZ,15,2,10,7,46,1.5,86.95652,62.434784,0.652174,0.434783,6.652174,4,-1,0,0,0,3,0,0,1436,241,153,4,8,8,6,3,2,0,0,0,0,2,8,8,6,3,2,2,2,2,0,0,9,3,0,0,0,1.236687,1.082814,CSGO-fZZ5u-YjBPX-XpOk3-N6PbP-TA7yD,4,0,4da8bb160ec93df9
TeSeS,76561197996678278,51,Falcons,19,9,15,11,57,1.266667,86.95652,90.565216,0.826087,0.652174,5.304348,2,-1,0,0,0,1,0,0,2083,431,122,4,8,8,6,3,2,0,0,0,0,2,8,8,6,3,2,2,4,3,0,2,11,4,0,0,0,1.391496,1.075543,CSGO-FwFfV-2CZJ6-B9yx4-pTRzB-SjG4C,1,0,4da8bb160ec93df9
